year,city,country,avg_temp
1895,Abu Dhabi,United Arab Emirates,25.98
1896,Abu Dhabi,United Arab Emirates,26.36
1897,Abu Dhabi,United Arab Emirates,26.29
1898,Abu Dhabi,United Arab Emirates,25.92
1899,Abu Dhabi,United Arab Emirates,26.57
1900,Abu Dhabi,United Arab Emirates,26.43
1901,Abu Dhabi,United Arab Emirates,26.53
1902,Abu Dhabi,United Arab Emirates,26.81
1903,Abu Dhabi,United Arab Emirates,25.88
1904,Abu Dhabi,United Arab Emirates,26.49
1905,Abu Dhabi,United Arab Emirates,26.30
1906,Abu Dhabi,United Arab Emirates,26.24
1907,Abu Dhabi,United Arab Emirates,26.17
1908,Abu Dhabi,United Arab Emirates,26.34
1909,Abu Dhabi,United Arab Emirates,26.57
1910,Abu Dhabi,United Arab Emirates,25.89
1911,Abu Dhabi,United Arab Emirates,25.62
1912,Abu Dhabi,United Arab Emirates,26.35
1913,Abu Dhabi,United Arab Emirates,26.45
1914,Abu Dhabi,United Arab Emirates,26.56
1915,Abu Dhabi,United Arab Emirates,26.90
1916,Abu Dhabi,United Arab Emirates,25.90
1917,Abu Dhabi,United Arab Emirates,26.04
1918,Abu Dhabi,United Arab Emirates,26.03
1919,Abu Dhabi,United Arab Emirates,26.24
1920,Abu Dhabi,United Arab Emirates,26.20
1921,Abu Dhabi,United Arab Emirates,26.06
1922,Abu Dhabi,United Arab Emirates,26.77
1923,Abu Dhabi,United Arab Emirates,26.32
1924,Abu Dhabi,United Arab Emirates,27.03
1925,Abu Dhabi,United Arab Emirates,26.26
1926,Abu Dhabi,United Arab Emirates,26.65
1927,Abu Dhabi,United Arab Emirates,26.35
1928,Abu Dhabi,United Arab Emirates,26.34
1929,Abu Dhabi,United Arab Emirates,26.60
1930,Abu Dhabi,United Arab Emirates,26.38
1931,Abu Dhabi,United Arab Emirates,26.54
1932,Abu Dhabi,United Arab Emirates,26.23
1933,Abu Dhabi,United Arab Emirates,26.06
1934,Abu Dhabi,United Arab Emirates,26.17
1935,Abu Dhabi,United Arab Emirates,26.44
1936,Abu Dhabi,United Arab Emirates,26.24
1937,Abu Dhabi,United Arab Emirates,26.22
1938,Abu Dhabi,United Arab Emirates,26.29
1939,Abu Dhabi,United Arab Emirates,26.13
1940,Abu Dhabi,United Arab Emirates,26.49
1941,Abu Dhabi,United Arab Emirates,26.88
1942,Abu Dhabi,United Arab Emirates,26.87
1943,Abu Dhabi,United Arab Emirates,26.42
1944,Abu Dhabi,United Arab Emirates,26.89
1945,Abu Dhabi,United Arab Emirates,26.45
1946,Abu Dhabi,United Arab Emirates,26.60
1947,Abu Dhabi,United Arab Emirates,26.85
1948,Abu Dhabi,United Arab Emirates,26.69
1949,Abu Dhabi,United Arab Emirates,26.29
1950,Abu Dhabi,United Arab Emirates,25.97
1951,Abu Dhabi,United Arab Emirates,26.69
1952,Abu Dhabi,United Arab Emirates,26.68
1953,Abu Dhabi,United Arab Emirates,26.89
1954,Abu Dhabi,United Arab Emirates,26.89
1955,Abu Dhabi,United Arab Emirates,26.62
1956,Abu Dhabi,United Arab Emirates,26.56
1957,Abu Dhabi,United Arab Emirates,26.26
1958,Abu Dhabi,United Arab Emirates,26.89
1959,Abu Dhabi,United Arab Emirates,26.43
1960,Abu Dhabi,United Arab Emirates,26.66
1961,Abu Dhabi,United Arab Emirates,26.57
1962,Abu Dhabi,United Arab Emirates,26.75
1963,Abu Dhabi,United Arab Emirates,26.61
1964,Abu Dhabi,United Arab Emirates,25.89
1965,Abu Dhabi,United Arab Emirates,26.63
1966,Abu Dhabi,United Arab Emirates,26.76
1967,Abu Dhabi,United Arab Emirates,26.47
1968,Abu Dhabi,United Arab Emirates,26.20
1969,Abu Dhabi,United Arab Emirates,27.09
1970,Abu Dhabi,United Arab Emirates,27.24
1971,Abu Dhabi,United Arab Emirates,26.47
1972,Abu Dhabi,United Arab Emirates,26.16
1973,Abu Dhabi,United Arab Emirates,26.54
1974,Abu Dhabi,United Arab Emirates,26.46
1975,Abu Dhabi,United Arab Emirates,26.49
1976,Abu Dhabi,United Arab Emirates,26.43
1977,Abu Dhabi,United Arab Emirates,27.43
1978,Abu Dhabi,United Arab Emirates,26.89
1979,Abu Dhabi,United Arab Emirates,26.96
1980,Abu Dhabi,United Arab Emirates,27.16
1981,Abu Dhabi,United Arab Emirates,26.93
1982,Abu Dhabi,United Arab Emirates,26.16
1983,Abu Dhabi,United Arab Emirates,26.19
1984,Abu Dhabi,United Arab Emirates,26.29
1985,Abu Dhabi,United Arab Emirates,26.63
1986,Abu Dhabi,United Arab Emirates,26.70
1987,Abu Dhabi,United Arab Emirates,26.91
1988,Abu Dhabi,United Arab Emirates,26.95
1989,Abu Dhabi,United Arab Emirates,26.38
1990,Abu Dhabi,United Arab Emirates,27.11
1991,Abu Dhabi,United Arab Emirates,26.46
1992,Abu Dhabi,United Arab Emirates,26.10
1993,Abu Dhabi,United Arab Emirates,27.02
1994,Abu Dhabi,United Arab Emirates,27.25
1995,Abu Dhabi,United Arab Emirates,26.75
1996,Abu Dhabi,United Arab Emirates,27.20
1997,Abu Dhabi,United Arab Emirates,26.87
1998,Abu Dhabi,United Arab Emirates,28.19
1999,Abu Dhabi,United Arab Emirates,28.16
2000,Abu Dhabi,United Arab Emirates,27.67
2001,Abu Dhabi,United Arab Emirates,27.82
2002,Abu Dhabi,United Arab Emirates,28.00
2003,Abu Dhabi,United Arab Emirates,28.12
2004,Abu Dhabi,United Arab Emirates,28.07
2005,Abu Dhabi,United Arab Emirates,27.90
2006,Abu Dhabi,United Arab Emirates,27.94
2007,Abu Dhabi,United Arab Emirates,28.08
2008,Abu Dhabi,United Arab Emirates,27.59
2009,Abu Dhabi,United Arab Emirates,28.04
2010,Abu Dhabi,United Arab Emirates,28.69
2011,Abu Dhabi,United Arab Emirates,28.25
2012,Abu Dhabi,United Arab Emirates,28.46
2013,Abu Dhabi,United Arab Emirates,28.01
